Date,Symbol,Open,High,Low,Last,Close
2020-05-07,ABB,864.5,872,856,859.9,858.5
2020-05-08,ABB,863.95,868.45,841,844.2,846.6
2020-05-11,ABB,849.6,872,846.55,863.55,866.9
2020-05-12,ABB,860,860.35,850,853,852
2020-05-13,ABB,868.75,876.8,852,857.9,855.65
2020-05-14,ABB,840.05,864,833,836.95,836.1
2020-05-15,ABB,840,846,821,823,822.7
2020-05-18,ABB,822.7,828.3,797.05,799,799.8
2020-05-19,ABB,818.95,818.95,780,784.1,784.5
2020-05-20,ABB,788.9,788.9,773,775.05,774.35
2020-05-21,ABB,774,800,745.65,750,749.75
2020-05-22,ABB,750,758.85,729,732.7,730.1
2020-05-26,ABB,737.3,749,723.3,725.5,725.95
2020-05-27,ABB,735,741,722,734,736.65
2020-05-28,ABB,741.95,772,737.25,740,739.85
2020-05-29,ABB,741,753.9,739,744,744.25
2020-06-01,ABB,757,834,754.4,817,821.4
2020-06-02,ABB,828.4,844.5,817.3,827,824.9
2020-06-03,ABB,830,843.9,825,837,835.85
2020-06-04,ABB,836,842.5,829,837.8,835
2020-06-05,ABB,840,889.9,838.05,874.3,877.5
2020-06-08,ABB,900.15,913.95,870,877,878.45
2020-06-09,ABB,886,886.8,833,837,852.8
2020-06-10,ABB,838,847,825,830.7,830.35
2020-06-11,ABB,834,839.95,808,811.9,810.05
2020-06-12,ABB,786,815,780,805.25,807.4
2020-06-15,ABB,813.4,822.55,801.95,804.95,806.1
2020-06-16,ABB,819.95,824,789.65,792.9,794.95
2020-06-17,ABB,798.4,801,781,782,784.65
2020-06-18,ABB,787.85,800,784.55,789.5,787.5
2020-06-19,ABB,789.5,830,788,812.6,813
2020-06-22,ABB,825,839.8,822.05,832.05,832.3
2020-06-23,ABB,838,859.9,832.15,857,854.85
2020-06-24,ABB,861,888.5,855.25,869.6,867.85
2020-06-25,ABB,871,896,871,894.1,880.5
2020-06-26,ABB,895.25,927,891.25,912,914.35
2020-06-29,ABB,920,929,885.6,923,922.35
2020-07-01,ABB,939.05,964,919.05,960.05,954.3
2020-07-02,ABB,966,979,955.1,962,963.4
2020-07-03,ABB,965,988,940,977.35,979.5
2020-07-06,ABB,982,1017,976.2,981.25,983.4
2020-07-07,ABB,987.5,988.95,957.25,959,961.4
2020-07-08,ABB,968,971.5,942,943.3,944.65
2020-07-09,ABB,947,955,926.05,928.5,928.5
2020-07-10,ABB,930,936.75,914.9,915.15,916.95
2020-07-13,ABB,922,925.35,910,913,914.9
2020-07-14,ABB,913,915,901.05,910.5,908.15
2020-07-15,ABB,916,933,900.9,906.1,905.8
2020-07-16,ABB,909.9,919,894,909.95,905.85
2020-07-17,ABB,914,923.25,907,914.5,912.15
2020-07-20,ABB,913.5,932.7,894,894.95,898.95
2020-07-21,ABB,903,913.95,901.15,907,906.85
2020-07-22,ABB,910,930,902,926.25,925.65
2020-07-23,ABB,930,945,925,939.95,934.8
2020-07-24,ABB,910,919,895,913,912.6
2020-07-27,ABB,912.1,912.1,890,894,893.55
2020-07-28,ABB,898.5,899.4,891,895.4,894.5
2020-07-29,ABB,897,902,875,880,880.95
2020-07-30,ABB,873.8,892.95,862.6,869.05,865.15
2020-07-31,ABB,870.5,897.4,865.5,896.5,894.95
2020-08-03,ABB,900.1,919.4,869.45,876,881.6
2020-08-04,ABB,882.6,909.7,881.6,905.95,905.3
2020-08-05,ABB,910,922,896,901.65,900.1
2020-08-06,ABB,904,904,886.15,891.95,889.4
2020-08-07,ABB,889.4,904.35,879.4,884,881.8
2020-08-10,ABB,886.65,899,874.6,891,892
2020-08-11,ABB,896.85,917.6,892,906.7,903.4
2020-08-12,ABB,903.45,924.8,903.45,908.65,908.15
2020-08-13,ABB,909.5,939.25,908.55,938.45,932.4
2020-08-14,ABB,945,959,933.55,945,949.4
2020-08-17,ABB,954,960,923,927.6,929.8
