Date,Open,High,Low,Last,Close,Volume
2020-04-22,900.85,921.8,887.05,909.95,908.05,158811.0
2020-04-23,905.0,921.95,896.2,904.0,901.8,86093.0
2020-04-24,901.8,906.55,890.0,892.0,893.45,62329.0
2020-04-27,900.0,907.0,880.05,886.95,883.35,47484.0
2020-04-28,892.5,906.45,868.0,871.8,873.4,138324.0
2020-04-29,881.0,891.75,875.0,886.4,880.15,60897.0
2020-04-30,900.0,913.15,890.1,904.0,900.55,145626.0
2020-05-04,895.0,895.0,870.0,878.9,879.5,47419.0
2020-05-05,893.8,896.05,870.05,874.0,873.2,24433.0
2020-05-06,871.0,887.95,866.05,869.9,869.55,45865.0
2020-05-07,864.5,872.0,856.0,859.9,858.5,30256.0
2020-05-08,863.95,868.45,841.0,844.2,846.6,35936.0
2020-05-11,849.6,872.0,846.55,863.55,866.9,83321.0
2020-05-12,860.0,860.35,850.0,853.0,852.0,18231.0
2020-05-13,868.75,876.8,852.0,857.9,855.65,62961.0
2020-05-14,840.05,864.0,833.0,836.95,836.1,90247.0
2020-05-15,840.0,846.0,821.0,823.0,822.7,62463.0
2020-05-18,822.7,828.3,797.05,799.0,799.8,90489.0
2020-05-19,818.95,818.95,780.0,784.1,784.5,132009.0
2020-05-20,788.9,788.9,773.0,775.05,774.35,64779.0
2020-05-21,774.0,800.0,745.65,750.0,749.75,191499.0
2020-05-22,750.0,758.85,729.0,732.7,730.1,126840.0
2020-05-26,737.3,749.0,723.3,725.5,725.95,524000.0
2020-05-27,735.0,741.0,722.0,734.0,736.65,109664.0
2020-05-28,741.95,772.0,737.25,740.0,739.85,268525.0
2020-05-29,741.0,753.9,739.0,744.0,744.25,214976.0
2020-06-01,757.0,834.0,754.4,817.0,821.4,541641.0
2020-06-02,828.4,844.5,817.3,827.0,824.9,321593.0
2020-06-03,830.0,843.9,825.0,837.0,835.85,245789.0
2020-06-04,836.0,842.5,829.0,837.8,835.0,317234.0
2020-06-05,840.0,889.9,838.05,874.3,877.5,357760.0
2020-06-08,900.15,913.95,870.0,877.0,878.45,256663.0
2020-06-09,886.0,886.8,833.0,837.0,852.8,232007.0
2020-06-10,838.0,847.0,825.0,830.7,830.35,101930.0
2020-06-11,834.0,839.95,808.0,811.9,810.05,123269.0
2020-06-12,786.0,815.0,780.0,805.25,807.4,116248.0
2020-06-15,813.4,822.55,801.95,804.95,806.1,66773.0
2020-06-16,819.95,824.0,789.65,792.9,794.95,107848.0
2020-06-17,798.4,801.0,781.0,782.0,784.65,139461.0
2020-06-18,787.85,800.0,784.55,789.5,787.5,107018.0
2020-06-19,789.5,830.0,788.0,812.6,813.0,1355781.0
2020-06-22,825.0,839.8,822.05,832.05,832.3,175107.0
2020-06-23,838.0,859.9,832.15,857.0,854.85,226768.0
2020-06-24,861.0,888.5,855.25,869.6,867.85,569892.0
2020-06-25,871.0,896.0,871.0,894.1,880.5,455476.0
2020-06-26,895.25,927.0,891.25,912.0,914.35,603502.0
2020-06-29,920.0,929.0,885.6,923.0,922.35,224329.0
2020-07-01,939.05,964.0,919.05,960.05,954.3,174485.0
2020-07-02,966.0,979.0,955.1,962.0,963.4,161482.0
2020-07-03,965.0,988.0,940.0,977.35,979.5,320566.0
2020-07-06,982.0,1017.0,976.2,981.25,983.4,398732.0
2020-07-07,987.5,988.95,957.25,959.0,961.4,298468.0
2020-07-08,968.0,971.5,942.0,943.3,944.65,194584.0
2020-07-09,947.0,955.0,926.05,928.5,928.5,124766.0
2020-07-10,930.0,936.75,914.9,915.15,916.95,109164.0
2020-07-13,922.0,925.35,910.0,913.0,914.9,76574.0
2020-07-14,913.0,915.0,901.05,910.5,908.15,53845.0
2020-07-15,916.0,933.0,900.9,906.1,905.8,137247.0
2020-07-16,909.9,919.0,894.0,909.95,905.85,144234.0
2020-07-17,914.0,923.25,907.0,914.5,912.15,101310.0
2020-07-20,913.5,932.7,894.0,894.95,898.95,286602.0
2020-07-21,903.0,913.95,901.15,907.0,906.85,126509.0
2020-07-22,910.0,930.0,902.0,926.25,925.65,145317.0
2020-07-23,930.0,945.0,925.0,939.95,934.8,161417.0
