Date,Open,High,Low,Last,Close,Volume
2020-03-23,311.15,313.7,280.0,282.4,284.0,56868412.0
2020-03-24,295.3,305.0,268.3,298.55,296.5,67896591.0
2020-03-25,284.0,334.15,281.6,315.15,316.9,66545735.0
2020-03-26,322.0,364.4,314.25,331.5,330.25,76174000.0
2020-03-27,355.8,359.55,326.0,338.5,339.85,72890796.0
2020-03-30,330.1,333.9,311.1,315.1,313.4,36560532.0
2020-03-31,324.7,334.85,316.0,320.4,323.75,46280029.0
2020-04-01,319.0,323.75,308.1,311.5,311.15,33142102.0
2020-04-03,309.5,309.5,281.5,288.0,286.65,57330285.0
2020-04-07,308.3,329.6,296.85,324.8,326.1,57662681.0
2020-04-08,322.85,352.75,315.1,317.65,318.95,73931642.0
2020-04-09,332.4,345.0,322.65,342.0,342.7,52432049.0
2020-04-13,341.05,345.8,329.25,331.1,330.65,30995409.0
2020-04-15,342.7,351.9,325.0,328.5,327.35,49134201.0
2020-04-16,325.3,347.8,319.35,342.85,342.0,56494211.0
2020-04-17,362.0,385.5,349.05,375.0,375.55,69008019.0
2020-04-20,376.0,378.9,357.0,361.75,361.3,55811178.0
2020-04-21,341.0,346.2,328.0,329.8,331.85,50118816.0
2020-04-22,326.0,338.0,323.05,336.5,335.95,49115661.0
2020-04-23,340.25,354.8,338.0,350.8,352.95,45953483.0
2020-04-24,337.9,343.25,331.5,337.05,334.85,38513311.0
2020-04-27,339.3,352.9,338.0,346.3,347.9,38981101.0
2020-04-28,353.75,362.85,350.25,361.0,359.85,32934538.0
2020-04-29,353.0,376.5,351.65,367.65,370.45,39342166.0
2020-04-30,382.0,392.95,374.15,377.7,380.15,45735197.0
2020-05-04,359.0,359.0,336.0,340.0,338.05,38837866.0
2020-05-05,348.0,348.0,329.55,332.0,330.85,45071600.0
2020-05-06,331.5,345.55,325.25,342.8,341.4,49953121.0
2020-05-07,337.0,342.9,333.7,337.9,336.75,27657193.0
2020-05-08,344.0,352.5,333.7,335.65,337.7,42970794.0
2020-05-11,341.0,343.55,318.2,322.1,320.15,83666044.0
2020-05-12,318.3,324.4,308.0,322.8,321.2,69072372.0
