Date,Open,High,Low,Last,Close,Volume
2020-12-14,189.35,195.3,189.05,194.65,194.15,1642855.0
2020-12-15,194.0,194.0,190.0,190.65,191.05,1035176.0
2020-12-16,191.75,227.9,191.5,219.05,220.3,20419578.0
2020-12-17,218.05,223.9,205.0,207.25,207.35,9138262.0
2020-12-18,208.8,225.7,202.5,221.7,221.95,15138674.0
2020-12-21,221.0,224.75,196.0,203.0,204.65,4318465.0
2020-12-22,205.05,211.7,196.05,208.9,209.0,3005087.0
2020-12-23,209.75,218.0,209.0,213.8,214.6,1662354.0
2020-12-24,215.75,218.2,210.15,212.8,212.4,1053802.0
2020-12-28,214.35,217.9,213.05,216.0,215.8,1408447.0
2020-12-29,217.8,217.8,211.2,212.5,212.55,1004118.0
2020-12-30,214.0,225.7,210.8,221.35,221.15,4562158.0
2020-12-31,220.9,223.95,217.4,218.1,218.45,1680277.0
2021-01-01,218.95,234.85,218.2,226.85,227.65,8197913.0
2021-01-04,229.0,231.7,224.0,227.0,227.3,2149446.0
2021-01-05,227.0,230.95,223.6,225.15,225.35,1495373.0
2021-01-06,226.5,227.05,216.0,219.1,219.3,1720088.0
2021-01-07,221.15,224.55,218.65,220.0,220.3,1518541.0
2021-01-08,222.6,227.0,220.1,221.4,221.7,1198545.0
2021-01-11,223.0,223.7,217.65,219.0,218.7,741376.0
2021-01-12,217.95,223.9,217.0,218.85,219.0,1176092.0
2021-01-13,219.7,222.3,215.0,217.05,217.25,959361.0
2021-01-14,218.35,224.85,215.1,220.5,219.95,1780545.0
2021-01-15,220.05,221.85,216.0,216.95,217.25,675723.0
2021-01-18,217.05,217.3,211.0,211.7,212.05,667237.0
2021-01-19,213.5,216.9,213.0,214.5,214.65,487691.0
2021-01-20,214.65,219.35,212.85,217.4,216.7,826080.0
2021-01-21,217.75,218.8,207.2,212.0,209.95,722422.0
2021-01-22,211.8,214.45,208.5,209.35,209.65,552496.0
2021-01-25,211.6,212.7,204.75,210.8,208.55,531963.0
2021-01-27,209.75,212.0,200.9,201.85,204.2,623976.0
2021-01-28,200.95,208.95,200.95,207.65,206.6,848958.0
2021-01-29,209.5,216.75,208.35,212.85,210.85,1315002.0
2021-02-01,213.9,219.0,209.4,217.9,216.8,1116145.0
2021-02-02,218.65,219.45,215.1,215.7,215.7,528593.0
2021-02-03,216.45,218.5,215.2,215.9,216.1,418571.0
2021-02-04,216.3,223.0,215.55,219.2,219.35,1146057.0
2021-02-05,221.15,222.9,217.0,219.0,219.1,572071.0
2021-02-08,220.75,224.4,220.1,221.0,221.05,750845.0
2021-02-09,221.55,226.0,218.7,220.75,220.05,1068127.0
2021-02-10,221.05,228.0,219.1,225.4,224.95,1761757.0
2021-02-11,226.0,242.6,224.75,232.0,231.8,5459925.0
2021-02-12,232.95,234.8,223.0,223.5,224.4,1348285.0
2021-02-15,222.0,223.9,215.8,217.0,216.85,1175830.0
2021-02-16,221.0,223.5,217.6,220.75,219.9,957030.0
2021-02-17,221.25,221.8,214.2,214.8,214.7,1308896.0
2021-02-18,216.2,220.4,213.1,218.75,218.55,1942116.0
2021-02-19,218.55,222.0,214.5,218.5,218.3,1457352.0
2021-02-22,215.0,217.8,205.6,207.0,208.1,1080439.0
2021-02-23,209.05,217.7,207.5,215.3,215.55,1180959.0
2021-02-24,217.45,221.9,216.5,216.85,217.9,906939.0
2021-02-25,219.0,222.4,218.0,218.9,219.4,1125289.0
2021-02-26,215.2,217.45,211.7,213.6,213.2,887720.0
2021-03-01,214.95,219.6,214.3,218.75,218.15,1350131.0
2021-03-02,219.95,228.65,219.65,225.0,224.75,2510274.0
2021-03-03,226.5,241.35,225.1,231.3,231.65,4094678.0
2021-03-04,229.95,239.05,228.65,233.2,233.05,1710837.0
2021-03-05,232.6,234.9,220.5,223.0,221.8,1261469.0
2021-03-08,223.5,230.0,223.4,227.0,227.0,879033.0
2021-03-09,228.6,230.0,220.5,223.9,222.45,756539.0
2021-03-10,224.9,228.8,221.15,226.5,226.45,692482.0
2021-03-12,228.45,230.0,220.2,220.5,220.85,935337.0
2021-03-15,221.8,222.65,216.1,219.4,219.35,564018.0
2021-03-16,220.7,221.25,215.0,215.9,216.2,431450.0
2021-03-17,215.9,218.2,210.0,211.0,210.8,507648.0
2021-03-18,212.2,214.25,203.3,207.0,204.75,773488.0
2021-03-19,205.3,212.0,200.25,210.8,210.95,741640.0
2021-03-22,210.95,217.75,208.95,215.75,215.8,758267.0
2021-03-23,216.0,219.5,215.0,216.6,216.95,514420.0
